,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,work
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,work
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,broken down full
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,broken down full
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,broken down
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,broken down
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,broken down full
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,slow
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,work
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,work
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,conges full
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,work
0,43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0,work
