,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,work
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,slow
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,queu
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,heavy
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,heavy
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,heavy
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,heavy
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,slow
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,work
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,work
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,full accident
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,accident
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,accident
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,accident
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,collision clos delay
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,slow
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,slow
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,heavy
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,slow
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,heavy
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,work
0,30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,
